// Compost colors for ae2lt. You may add your own colors, change existing ones, or remove colors that aren't needed.
clear_condensate, #ffff3c
debug_lightning_rod, #ffdcfe
electro_chime_crystal, #9778b8
infinite_storage_cell, #98a1dd
large_overload_crystal_bud, #ffb1eb
lightning_cell_component_i, #b8aecd
lightning_cell_component_ii, #b9aecf
lightning_cell_component_iii, #beb2d3
lightning_cell_component_iv, #c3b4d4
lightning_cell_component_v, #bcaacd
lightning_collapse_matrix, #feb4e3
lightning_item_cell_housing, #fb89bc
lightning_storage_component_i, #e6aaf2
lightning_storage_component_ii, #feb9f8
lightning_storage_component_iii, #e4bee0
lightning_storage_component_iv, #d9b5c6
lightning_storage_component_v, #f4c3c0
medium_overload_crystal_bud, #ffafe4
mysterious_cell, #ff96da
overload_alloy, #ff78ca
overload_alloy_blank, #ffacff
overload_alloy_plate, #ff91e3
overload_circuit_board, #ff9ae6
overload_crystal, #ff84c5
overload_crystal_cluster, #ffb4f2
overload_crystal_dust, #ffb5f4
overload_inscriber_press, #b2b2cc
overload_pattern, #eacae7
overload_pattern_encoder, #f1b9dc
overload_processor, #896484
overload_singularity, #8e3462
overloaded_filter_component, #ebb9dc
overloaded_wireless_connect_tool, #c390b2
perfect_electro_chime_crystal, #ff8acc
rain_condensate, #bcffff
research_note, #de9bee
small_overload_crystal_bud, #ffaeeb
thunderstorm_condensate, #ffc2ff
ultimate_overload_core, #d0bee3
unoverloaded_circuit_board, #ff8ed7
