// Compost colors for ae2ltpp. You may add your own colors, change existing ones, or remove colors that aren't needed.
aa_empowerer_packaged_core, #c8becc
aa_reconstructor_packaged_core, #c8becc
ars_apparatus_packaged_core, #c8becc
ars_imbuement_packaged_core, #c8becc
avaritia_end_table_packaged_core, #c8becc
avaritia_extreme_smithing_packaged_core, #c8becc
avaritia_extreme_table_packaged_core, #c8becc
avaritia_nether_table_packaged_core, #c8becc
avaritia_sculk_table_packaged_core, #c8becc
basic_packaged_core, #c8becc
botania_alfheim_portal_packaged_core, #c8becc
botania_mana_pool_packaged_core, #c8becc
botania_petal_apothecary_packaged_core, #c8becc
botania_runic_altar_packaged_core, #c8becc
botania_terra_plate_packaged_core, #c8becc
de_fusion_packaged_core, #c8becc
ec_advanced_table_packaged_core, #c8becc
ec_basic_table_packaged_core, #c8becc
ec_combination_packaged_core, #c8becc
ec_elite_table_packaged_core, #c8becc
ec_ender_crafter_packaged_core, #c8becc
ec_flux_crafter_packaged_core, #c8becc
ec_ultimate_table_packaged_core, #c8becc
ma_awakening_altar_packaged_core, #c8becc
ma_infusion_altar_packaged_core, #c8becc
malum_spirit_focusing_packaged_core, #c8becc
malum_spirit_infusion_packaged_core, #c8becc
mekmm_packaged_core, #c8becc
occultism_ritual_packaged_core, #c8becc
occultism_spirit_fire_packaged_core, #c8becc
