// Compost colors for casting. You may add your own colors, change existing ones, or remove colors that aren't needed.
auto_smelt, #ffffff
ball_mold, #525555
beheading, #ffffff
black_brick, #616262
block_mold, #3e3e3e
dust_mold, #585b5b
efficiency, #ffffff
equipment_level, #ffffff
excavation, #ffffff
feather_falling, #ffffff
flight, #ffffff
fluid_mover, #444646
fortune, #ffffff
gear_mold, #484847
gem_mold, #525454
ignite, #ffffff
ingot_mold, #515252
jets, #ffffff
knockback, #ffffff
lava_walker, #ffffff
lifesteal, #ffffff
looting, #ffffff
magnet, #ffffff
night_vision, #ffffff
nugget_mold, #5e5f5f
plate_mold, #575a5a
protection, #ffffff
repairing, #ffffff
repairing_mold, #6c6e6e
rod_mold, #5e6161
sharpness, #ffffff
silk_touch, #ffffff
soulbound, #ffffff
speed, #ffffff
step_assist, #ffffff
teleporting, #ffffff
torch_placing, #ffffff
unbreaking, #ffffff
water_breathing, #ffffff
water_walker, #ffffff
wire_mold, #5a5b5b
