// Compost colors for colors. You may add your own colors, change existing ones, or remove colors that aren't needed.
black_apple, #363736
black_bamboo_mosaic_door, #3d4044
black_bamboo_mosaic_hanging_sign, #323336
black_bamboo_mosaic_sign, #303336
black_bamboo_plank_door, #414347
black_bamboo_plank_hanging_sign, #323336
black_bamboo_plank_sign, #303336
black_dandelion, #36373a
black_plank_door, #363739
black_plank_hanging_sign, #323336
black_plank_sign, #303336
black_poppy, #202223
black_sapling, #303233
black_short_grass, #333437
black_spray_can, #737578
black_tall_grass, #34363a
blue_apple, #93e8
blue_bamboo_mosaic_door, #acff
blue_bamboo_mosaic_hanging_sign, #89ea
blue_bamboo_mosaic_sign, #89ea
blue_bamboo_plank_door, #b4ff
blue_bamboo_plank_hanging_sign, #89ea
blue_bamboo_plank_sign, #89ea
blue_dandelion, #96ff
blue_plank_door, #96f7
blue_plank_hanging_sign, #89ea
blue_plank_sign, #89ea
blue_poppy, #5b9d
blue_sapling, #86de
blue_short_grass, #8df2
blue_spray_can, #8287c2
blue_tall_grass, #91fa
brown_apple, #7f502a
brown_bamboo_mosaic_door, #935c36
brown_bamboo_mosaic_hanging_sign, #734a2a
brown_bamboo_mosaic_sign, #754a2a
brown_bamboo_plank_door, #986139
brown_bamboo_plank_hanging_sign, #734a2a
brown_bamboo_plank_sign, #754a2a
brown_dandelion, #80512f
brown_plank_door, #7f512d
brown_plank_hanging_sign, #734a2a
brown_plank_sign, #754a2a
brown_poppy, #4e321c
brown_sapling, #724828
brown_short_grass, #794d2c
brown_spray_can, #a8907d
brown_tall_grass, #7c4e2d
cyan_apple, #127f7d
cyan_bamboo_mosaic_door, #1494a0
cyan_bamboo_mosaic_hanging_sign, #f767f
cyan_bamboo_mosaic_sign, #f767f
cyan_bamboo_plank_door, #159ba7
cyan_bamboo_plank_hanging_sign, #f767f
cyan_bamboo_plank_sign, #f767f
cyan_dandelion, #11828a
cyan_plank_door, #118086
cyan_plank_hanging_sign, #f767f
cyan_plank_sign, #f767f
cyan_poppy, #a4e54
cyan_sapling, #f7578
cyan_short_grass, #117a83
cyan_spray_can, #6cb9b9
cyan_tall_grass, #117d86
glowstone_spray_can, #d0bb9e
gray_apple, #5a5e5a
gray_bamboo_mosaic_door, #666e70
gray_bamboo_mosaic_hanging_sign, #51575a
gray_bamboo_mosaic_sign, #51575a
gray_bamboo_plank_door, #6b7276
gray_bamboo_plank_hanging_sign, #51575a
gray_bamboo_plank_sign, #51575a
gray_dandelion, #5a5f62
gray_plank_door, #585f5e
gray_plank_hanging_sign, #51575a
gray_plank_sign, #51575a
gray_poppy, #363a3c
gray_sapling, #505555
gray_short_grass, #545a5c
gray_spray_can, #878e90
gray_tall_grass, #575c5f
green_apple, #526b14
green_bamboo_mosaic_door, #5f7d19
green_bamboo_mosaic_hanging_sign, #4b6414
green_bamboo_mosaic_sign, #4b6414
green_bamboo_plank_door, #648319
green_bamboo_plank_hanging_sign, #4b6414
green_bamboo_plank_sign, #4b6414
green_dandelion, #546e15
green_plank_door, #526c14
green_plank_hanging_sign, #4b6414
green_plank_sign, #4b6414
green_poppy, #33430c
green_sapling, #4a6212
green_short_grass, #4e6814
green_spray_can, #94a86f
