// Compost colors for enderio_evolution. You may add your own colors, change existing ones, or remove colors that aren't needed.
alloy_ball_construction_alloy, #828382
alloy_ball_crystalline_alloy, #84e3e3
alloy_ball_crystalline_pink_slime, #ea9ad6
alloy_ball_energetic_silver, #b1deff
alloy_ball_melodic_alloy, #cda0cd
alloy_ball_stellar_alloy, #f8ffe7
alloy_ball_vivid_alloy, #7af0ff
basic_batch_upgrade, #937d6b
basic_stack_upgrade, #8e7966
capacitor_atm, #fff270
capacitor_crystalline, #ffffff
capacitor_energetic_silver, #ffffff
capacitor_grainy, #ffffff
capacitor_melodic, #bca8b8
capacitor_piglich, #aebce8
capacitor_silver, #ffffff
capacitor_stellar, #ffffff
capacitor_unobtainium, #c682e7
capacitor_vibranium, #a2ca97
capacitor_vivid, #ffffff
construction_alloy_ingot, #616262
construction_alloy_nugget, #555857
crude_steel_ball, #e3d9d2
crude_steel_ingot, #d4cac5
crude_steel_nugget, #cac0bb
crystalline_alloy_ingot, #91f0f0
crystalline_alloy_nugget, #82dcdc
crystalline_batch_upgrade, #9bd6c3
crystalline_pink_slime_ingot, #f2a1de
crystalline_pink_slime_nugget, #e493d2
crystalline_stack_upgrade, #93c8b6
ender_memory_card, #155194
energetic_silver_ingot, #b9e4ff
energetic_silver_nugget, #96c8f0
melodic_alloy_ingot, #c998c9
melodic_alloy_nugget, #caa0c9
stellar_alloy_ingot, #fcfff5
stellar_alloy_nugget, #ffffe0
stellar_batch_upgrade, #f8ffca
stellar_stack_upgrade, #f4ffc8
undying_totem_capacitor, #fed27f
vivid_alloy_ingot, #82e7fc
vivid_alloy_nugget, #51cce6
