// Compost colors for ifmup. You may add your own colors, change existing ones, or remove colors that aren't needed.
darkshine_bucket, #cfe7ea
efficiency_addon_tier_3, #cce6ff
efficiency_addon_tier_4, #d4ebfe
efficiency_addon_tier_5, #e7ffff
efficiency_addon_tier_6, #e1e3ff
efficiency_addon_tier_7, #eeffff
efficiency_addon_tier_8, #f1ffff
nether_star_gear, #ffffff
netherite_gear, #8c8687
processing_addon_tier_3, #c9e4ff
processing_addon_tier_4, #cde4f5
processing_addon_tier_5, #e4feff
processing_addon_tier_6, #dee1ff
processing_addon_tier_7, #ebffff
processing_addon_tier_8, #eeffff
range_addon_tier_12, #ffd6c8
range_addon_tier_13, #ffffdd
range_addon_tier_14, #fffffb
range_addon_tier_15, #fff8ee
range_addon_tier_16, #ffffe7
range_addon_tier_17, #fffffc
range_addon_tier_18, #fffff1
range_addon_tier_19, #fffaff
range_addon_tier_20, #ffffd9
range_addon_tier_21, #ffe7d0
range_addon_tier_22, #fffff2
range_addon_tier_23, #fff2e0
range_addon_tier_24, #e6e7de
range_addon_tier_25, #fff4e8
range_addon_tier_26, #fff5f4
range_addon_tier_27, #fffbe0
range_addon_tier_28, #f2e6f5
range_addon_tier_29, #f8e8dc
range_addon_tier_30, #fffef0
range_addon_tier_31, #ffdeff
range_addon_tier_47, #ffffeb
range_addon_tier_63, #fcd9ed
range_addon_tier_71, #ffffff
range_addon_tier_79, #fffbf5
raw_shadow, #8086da
shadow_axe, #8d8eaf
shadow_boots, #c2c5ff
shadow_chestplate, #9096eb
shadow_dust, #f1f8ff
shadow_gear, #8c8dee
shadow_helmet, #ffffff
shadow_hoe, #8c8ca8
shadow_ingot, #444ede
shadow_leggings, #d3d9ff
shadow_nugget, #ffffff
shadow_pickaxe, #8e90b5
shadow_plate, #edf0ff
shadow_rod, #8a9aff
shadow_rose_axe, #bcb1ff
shadow_rose_boots, #ffc8ff
shadow_rose_chestplate, #ffa2fe
shadow_rose_dust, #ffffff
shadow_rose_gear, #dd82ff
shadow_rose_helmet, #ffffff
shadow_rose_hoe, #caaeff
shadow_rose_ingot, #cd6cf0
shadow_rose_leggings, #ffdaff
shadow_rose_nugget, #ffffff
shadow_rose_pickaxe, #9364be
shadow_rose_plate, #ffe0ff
shadow_rose_rod, #98e3ff
shadow_rose_shovel, #e0bfff
shadow_rose_sword, #752de6
shadow_rose_wire, #f7d7ff
shadow_shovel, #898caa
shadow_sword, #161947
shadow_wire, #ffffff
speed_addon_tier_3, #cae4ff
speed_addon_tier_4, #cde6f7
speed_addon_tier_5, #e4feff
speed_addon_tier_6, #e0e1ff
speed_addon_tier_7, #edffff
speed_addon_tier_8, #eeffff
star_ether_alloy_axe, #acb2c5
star_ether_alloy_boots, #ffffff
star_ether_alloy_chestplate, #ffffff
star_ether_alloy_dust, #ffffff
star_ether_alloy_gear, #ffffff
star_ether_alloy_helmet, #ffffff
star_ether_alloy_hoe, #b2b9cc
star_ether_alloy_ingot, #ffffff
star_ether_alloy_leggings, #ffffff
star_ether_alloy_nugget, #ffffff
star_ether_alloy_pickaxe, #c5cfe7
star_ether_alloy_plate, #f8faff
star_ether_alloy_rod, #ffffff
star_ether_alloy_shovel, #a8afbf
star_ether_alloy_sword, #6f7293
star_ether_alloy_wire, #ffffff
unknown_dust, #ffffff
unknown_magic_axe, #ffffff
unknown_magic_boots, #ffffff
unknown_magic_chestplate, #ffffff
unknown_magic_dust, #ffffff
unknown_magic_gear, #ffffff
unknown_magic_helmet, #ffffff
unknown_magic_hoe, #ffffff
unknown_magic_ingot, #eaeaea
unknown_magic_leggings, #ffffff
unknown_magic_nugget, #ffffff
unknown_magic_pickaxe, #ffffff
unknown_magic_plate, #ffffff
unknown_magic_rod, #ffffff
unknown_magic_shovel, #ffffff
unknown_magic_sword, #ffffff
unknown_magic_wire, #ffffff
