// Compost colors for kenergyengineering. You may add your own colors, change existing ones, or remove colors that aren't needed.
augmented_levelup, #705552
azure_glass, #abd4f0
bizarrerie, #8655d7
blast_levelup, #a48a7a
chlorium_dust, #6ccc3a
chlorium_gear, #409b22
chlorium_ingot, #5ebf33
chlorium_nugget, #ffffff
chlorium_plate, #72cd32
copper_dust, #f78058
copper_gear, #f47c55
copper_plate, #ff8c61
detector, #e3bfbb
gold_dust, #ffbc44
gold_gear, #ffcf50
gold_plate, #ffff66
hydraulic_widget, #f88e6c
ice_levelup, #91a4a8
indigo, #5f3ea0
iron_dust, #949494
iron_gear, #acacac
iron_plate, #d7d7d7
knowledge_levelup, #8a977c
magma_levelup, #937558
mineral_levelup, #687d61
mould_gear, #838383
mould_plate, #989898
mould_rod, #737373
mould_string, #6e6e6e
nickel_dust, #edcc86
nickel_gear, #e3bc7d
nickel_ingot, #eaca82
nickel_nugget, #ffffff
nickel_plate, #f4d689
photosyn_levelup, #687f5e
potion_levelup, #8c7591
powered_levelup, #8da2aa
powered_tin_dust, #89c9ff
powered_tin_gear, #83c8ff
powered_tin_ingot, #91daff
powered_tin_nugget, #ffffff
powered_tin_plate, #a5ebff
range_levelup, #368637
raw_nickel, #ffea8a
raw_tin, #acc3c2
redstone_ai, #fc5a28
redstone_ai_advanced, #f84a96
redstone_conductor, #d05a3d
redstone_converter, #a18983
redstone_storer, #f4933d
relic_levelup, #6c7a76
smoke_levelup, #917865
stream_levelup, #705b80
tin_dust, #aec3da
tin_gear, #aac0d7
tin_ingot, #b9d3e6
tin_nugget, #ffffff
tin_plate, #d2eafa
