// Compost colors for useless_mod. You may add your own colors, change existing ones, or remove colors that aren't needed.
ae2_gift_package, #ffa169
endless_beaf_crowbar, #87aeed
endless_beaf_hammer, #87aeed
endless_beaf_item, #87aeed
endless_beaf_mallet, #87aeed
endless_beaf_screwdriver, #87aeed
endless_beaf_wrench, #87aeed
metal_mold_block, #5bb4de
metal_mold_gear, #4e8ebc
metal_mold_plate, #61acd9
metal_mold_rod, #5e91bf
metal_mold_wire, #5a83b2
omniversal_pattern, #ddd7cd
possible_useful_ingot, #f2ebe7
useful_ingot, #342c61
useless_gear_tier_1, #22c53e
useless_gear_tier_2, #8e79af
useless_gear_tier_3, #b665ab
useless_gear_tier_4, #2dabac
useless_gear_tier_5, #ffeeff
useless_gear_tier_6, #5226d4
useless_gear_tier_7, #292929
useless_gear_tier_8, #c6ffff
useless_gear_tier_9, #ffffe4
useless_ingot_tier_1, #5bffa2
useless_ingot_tier_2, #9379de
useless_ingot_tier_3, #d74897
useless_ingot_tier_4, #68828d
useless_ingot_tier_5, #cfb4d9
useless_ingot_tier_6, #9378d7
useless_ingot_tier_7, #554e64
useless_ingot_tier_8, #4a6bd2
useless_ingot_tier_9, #bfa55f
